ProductReference,CompanyID,CompanyName,CompanyTypeID,CompanyType,Sequence,Address1,Address2,Address3,CityName,StateName,Zip,CountryName,Phone1,Phone2,Fax1,Fax2,MainEmail,WebAddress
2262,830,Restructuring Capital Associates LP,11,Underwriter/Sponsor,1,"2 Stamford Plaza, Suite 1501",281 Tresser Boulevard,,Stamford,Connecticut,06901,United States,+ 1 345 949 7942,,,,,
1730,835,Bennett Lawrence Management LLC,1,Management Firm,1,One Grand Central Place,"60 E 42nd St., 43rd Floor",,New York,New York,10165,United States,+1 212 508 6406,+1 212 508 6400,+1 212 593 5955,+1 212 593 9647,,www.bennettlawrence.com
448,836,Lehman Brothers,1,Management Firm,1,,,,None,None,,None,,,,,,
1731,844,Schreiber Associates LLC,11,Underwriter/Sponsor,1,One Grand Central Place,"60 E. 42nd St., 43rd Floor",,New York,New York,10165,United States,+1 212 508 6404,,+1 212 593 9647,,,
484,859,Blenheim Capital Management LLC,1,Management Firm,1,c/o Derivatives Portfolio Management,Two Worlds Fair Drive,,Somerset,New Jersey,08873,United States,+1 732 450 7423,,+1 609 430 1757,,,
1363,873,Blue Rock Advisors Inc,1,Management Firm,1,80 South Eighth Street #4410,,,Minneapolis,Minnesota,55402,United States,+1 612 337 8000 Ex,,+1 612 337 8002,,,www.blue-rock.com
3924,883,Boyer Allan Investment Management Ltd,1,Management Firm,1,29 Queen Anne`s Gate,,,London,None,SW1H 9B,United Kingdom,+44 20 7222 8808,,+44 20 7227 3999,,,www.boyerallan.co.uk
1111,894,Kramer Spellman LP,1,Management Firm,1,Two Worlds Fair Drive,,,Somerset,New Jersey,08873,United States,,,,,,
1695,907,Beacon Hill Asset Management LLC,1,Management Firm,1,47 Maple Street,Suite 306,,Summit,New Jersey,07901,United States,+1 908 598 8090,,+1 908 598 8079,,,
43037,920,Tannenbaum Helpern Syracuse & Hirschtritt LLP,2,Investment Advisor,1,900 Third Avenue,,,New York,New York,10022,United States,+1 212 508 6700,,+1 212 371 1084,,tannenbaum@thshlaw.com,http://www.thshlaw.com/
1826,928,Albion Currency Advisors Ltd,1,Management Firm,1,6 Onslow Road,Surrey,,Burwood Park,None,,United Kingdom,+1 516 265 1694,,+1 516 979 3799,,,
1826,934,Cambex Holdings Ltd,11,Underwriter/Sponsor,1,,,,None,None,,None,,,,,,
8,963,Delphis Fund Management Ltd,1,Management Firm,1,,,,Hamilton,None,,Bermuda,+1 441 296 6644,,+1 441 296 4283,,delphi@delphi.bm,
12,987,Bulldog Capital Management LP,1,Management Firm,1,33 North Garden Avenue,Suite 750,,Clearwater,Florida,33755,United States,+1 727 298 5400,,+1 727 298 5410,,,www.bulldogcapital.com
1419,1011,Cambridge Investments Ltd,1,Management Firm,1,2 Belvedere Place,Suite 320,,Mill Valley,California,94941,United States,+1 415 781 0866,,+1 415 384 0190,,,
1456,1031,John C Natale,1,Management Firm,1,Two Worlds Fair Drive,,,Somerset,New Jersey,08873,United States,+1 212 840 1233,,+1 212 891 6113,,,www.bofasecurities.com
1425,1078,Canyon Capital Advisors LLC,1,Management Firm,1,9665 Wilshire Boulevard,Suite 200,,Beverly Hills,California,90212,United Kingdom,+1 310 247 2700,,+1 310 247 2719,,,www.canyonpartners.com
1425,1086,Canyon Partners,11,Underwriter/Sponsor,1,Seiler & Company LLC,120 Montgomery Street,Suite 2250,San Francisco,California,94104,United States,,,,,,
1318,1093,AXA Investment Managers (North America) Inc,1,Management Firm,1,One Fawcett Place,,,Greenwich,Connecticut,06830,United States,+1 203 863 8990,,+1 203 861 4112,,,
475,1126,Castalia Partners Ltd,1,Management Firm,1,Trafalgar Court,Admiral Park,,St Peters Port,None,GY1 3EP,Guernsey,+ 44 1481 724782,,+ 44 1481 710001,,mail@castaliapartners.com,http://www.castaliapartners.com/
1718,1140,Paul P Tanico,11,Underwriter/Sponsor,1,985 5th Ave B,,,New York,New York,10075,United States,,,,,,
477,1159,Archdale Securities Ltd,1,Management Firm,1,6 Gay Street,,,Bath,None,BA1 2PH,United Kingdom,+44 1225 460 010,,+44 1225 446 434,,,
85433,1181,Chesapeake Capital Corporation,2,Investment Advisor,4,500 Forest Ave,,,Richmond,Virginia,23229,United States,+1 804 285 5417,,+1 804 285 5410,,,
779,1187,James River Capital Corp,1,Management Firm,1,"5001 Tamarind Reef, Suite 28",,,Christiansted,Virginia,00820,United States,+1 804 578 4500,+1 804 578 4500,,+1 340 719 8804,,www.jrcc.net
1421,1193,Churchill Capital Management,1,Management Firm,1,"220 Montgomery Street, Suite 580",,,San Francisco,California,94104,United States,+1 415 399 5135,,+1 415 399 5173,,,
2061,1204,Orbital Management LLC,1,Management Firm,1,1801 East 9th Street,Suite 1120,,Cleveland,Ohio,44114,United States,+1 216 687 1096,+1 216 687 8949,+1 216 694 3545,,,
2061,1209,Clarion Management Ltd,11,Underwriter/Sponsor,1,Ohio Savings Plaza,Suite 1120,1801 East Ninth Street,Cleveland,Ohio,44144,United States,+1 216 687 1096,,+1 216 694 3545,,,
419,1211,Clearwater Futures Inc,1,Management Firm,1,801 Laurel Oak Drive,Suite 700,,Naples,Florida,34108,United States,,,,,,
291,1239,Coast Asset Management LLC,1,Management Firm,1,2450 Colorado Avenue,Suite 100 East Tower,,Santa Monica,California,90404,United States,+1 310 663 2332,,+1 310 633 2354,,,www.coastasset.com
13,1281,DF Advisors Inc,1,Management Firm,1,150 South Wacker Drive,15th Floor,,Chicago,Illinois,60606,United States,,,,,,www.arrowsmith.com.bs
239,1291,JRO Associates,1,Management Firm,1,,,,None,None,,None,,,,,,
2148,1302,Sal Oppenheim & Compucom Finance Inc,1,Management Firm,1,Compucom Finance Inc,Zeughausgasse 7a,P.O. Box 426,Zug,None,CH-6301,Switzerland,+41 41 710 1951,,+41 41 710 8335,,,www.compucom.ch
2148,1307,Bank Sal Oppenheim,11,Underwriter/Sponsor,1,Konigsberger Strasse 29,P.O. Box 201929,,Frankfurt,None,60605,Germany,,,,,,
1218,1317,Columbus Advisors LLC (Cayman),1,Management Firm,1,P. O. Box 2003 GT,"Grand Pavilion, Harbour Center",802 West Bay Road,Grand Cayman,None,B.W.I.,Cayman Islands,,,,,,www.fortisbank.com.ky
1218,1324,Columbus Partners LLC,11,Underwriter/Sponsor,1,,,,None,None,,None,,,,,,
1227,1330,Belgrave Capital Management Ltd,1,Management Firm,1,5 Lower Belgrave Street,,,London,None,,United Kingdom,+44 20 7824 1200,,+44 20 7824 1202,,,
1423,1369,Barbary Coast Capital Management LLC,1,Management Firm,1,One Sansome Street,Suite 2900,,San Francisco,California,94104,United States,+1 415 839 4088,+1 415 835 3880,+1 415 835 3890,+1 415 835 3893,,www.chilmarkcapital.com
1881,1380,Croesus-Emtr Advisors LLC,1,Management Firm,1,,,,None,None,,None,,,,,,
1892,1404,ECM Holdings,1,Management Firm,1,Heritage Court,41 Athol Street,,Douglas,None,IM99 1H,Isle of Man,,,,,,
1729,1436,DCA Advisors LLC,1,Management Firm,1,One Bowdoin Square,,,Boston,Massachusetts,02114,United States,+1 617 227 4511,,+1 617 227 9049,,,
1933,1448,Deephaven Capital Management LLC,1,Management Firm,1,130 Chesire Lane,Suite 102,,Minnetonka,Minnesota,55305,United States,+1 952 249 5517,,+1 952 542 4244,,,www.deephavenfunds.com
464,1475,Arnhold and S Bleichroeder Inc,2,Investment Advisor,1,1345 Avenue of the Americas,44th Floor,,New York,New York,10105-4,United States,+1 212 698 3000,,+1 212 698 4360,,,www.asbinc.com
1208,1518,Depasa Corporation,11,Underwriter/Sponsor,1,,,,None,None,,None,,,,,,
1448,1546,Kenmar Advisory Corp (Bahamas),11,Underwriter/Sponsor,1,"Lyford Manor, Lyford Key",PO Box N-776,,Nassau,None,,Bahamas,,,,,,
1448,1550,Dennis Trading Group Inc,1,Management Firm,1,222 South Riverside Plaza,Suite 900,,Chicago,Illinois,60606,United States,,,,,,
593,1605,Kenmar Management Ltd,1,Management Firm,1,Two American Lane,PO Box 5150,,Greenwich,Connecticut,06831,United States,+1 203 861 1000,,,,,www.KenmarGlobal.com
1796,1607,Petrie Parkman & Co Inc,11,Underwriter/Sponsor,1,500 East Lionshead Mall,Suite 32,,Vail,Colorado,81657,United States,,,,,,
1796,1611,Denver Energy Advisors LLC,1,Management Firm,1,5251 Dtc Parkway,,,Englewood,Colorado,80111,United States,+1 303 290 8746,,+1 303 2906176,,,
1351,1618,Di Tomasso Group Inc,1,Management Firm,1,956 Shadywood Drive,,,Victoria,British Columbia,V8X 4C3,Canada,+1 250 744 1650,,+1 250 361 4415,,,www.ditomassogroup.com
260,1659,Dickstein Partners Inc,1,Management Firm,1,660 Madison Avenue,16th Floor,,New York,New York,10021,United States,+1 212 754 5424,,+1 212 754 5825,,,www.dicksteinlp.com
1081,1672,DLR Advisors LLC,1,Management Firm,1,210 Main Street,,,Richmond,Texas,77469,United States,+1 281 342 6225,,+1 281 342 5832,,,www.dlradvisors.com
326,1678,Magnum Global Investments Ltd,1,Management Firm,1,"Charlotte House, Charlotte Street",P.O. Box CB-1921,,Nassau,None,,Bahamas,+1 242 326 2842,+1 242 394 2700,+1 242 326 2429,,,www.magnum.com
1422,1696,DNB Capital Management Inc,1,Management Firm,1,Seiler & Company LLC,120 Montgomery Street,Suite 2250,San Francisco,California,94104,United States,,,,,,
822,1708,Doran Capital Advisors Inc,1,Management Firm,1,150 South Wacker Drive,15th Floor,,Chicago,Illinois,60606,United States,,,,,,www.arrowsmith.com.bs
822,1712,Doran Capital Management,11,Underwriter/Sponsor,1,230 Park Ave,13th Floor,,New York,New York,10169,United States,+1 212 808 3404,,+1 212 808 3405,,,www.inginvestment.com
1501,1718,Dorchester Advisors Inc,1,Management Firm,1,1999 Avenue of the Stars,Suite 1950,,Los Angeles,California,90067,United States,+1 310 201 7795,,+1 310 201 2606,,,
534,1729,Willowbridge Associates Inc,1,Management Firm,1,"Rothstein, Kass & Company",11 East 44th Street,Suite 1608,New York,New York,10017,United States,+1 609 936 1100,,+1 609 936 9088,,,
534,1752,Doublewood Inc,11,Underwriter/Sponsor,1,"Rothstein, Kass & Company",11 East 44th Street,Suite 1608,New York,New York,10017,United States,+1 609 936 2615,,,,,
1458,1766,Eagle Capital Management Inc,1,Management Firm,1,50210 AXP Financial Center,,,Minneapolis,Minnesota,55440,United States,,,,,,
1639,1819,Eastgate Management Corporation,1,Management Firm,1,383 Summersweet Ln,,,Boone,North Carolina,NC 2860,United States,+1 828 265 1600,,+1 828 265 1665,,,
1315,1831,Asher B Edelman Management Co,1,Management Firm,1,717 Fifth Avenue,Suite 407,,New York,New York,10022,United States,+1 212 371 2643,,+1 212 223 0006,,,
1321,1843,A B Edelman Management Co,1,Management Firm,1,717 Fifth Avenue,Suite 407,,New York,New York,10022,United States,+1 212 371 5506,,+1 212 371 0006,,contact_us@edelman.com,www.edelman.com
2172,1854,PW Capital Advisors Inc,1,Management Firm,1,8 Meadow Marsh Lane,,,Old Greenwich,Connecticut,06870,United States,+1 203 698 1771,,+1 203 698 2277,,,
1188,1865,Egerton Capital Limited Partnership,2,Investment Advisor,1,Stratton House,5 Stratton Street,,London,None,W1J 8LA,United Kingdom,+44 20 7410 9090,,+44 20 7410 9091,,,
44401,1885,Simmons & Simmons (London),2,Investment Advisor,1,"CityPoint ,One Ropemaker Street",,,London,None,EC2Y 9S,United Kingdom,+44 207 628 2020,,+44 207 628 2070,,,www.simmons-simmons.com
2001,1900,EGM Capital,11,Underwriter/Sponsor,1,Two Embarcadero Center,Suite 1300,,San Francisco,California,94111,United States,+1 415 782 9600,,+1 415 782 9639,,info@egm.com,www.egm.com
63,1904,Emerging Growth Management Co,11,Underwriter/Sponsor,1,Two Embarcadero Center,Suite 1300,,San Francisco,California,94111,United States,+1 415 782 9600,,+1 415 782 9639,,,www.saxobank.com
1535,1932,EK Investment Management Ltd,1,Management Firm,1,"3104, Tower One",Lippp Centre,89 Queensway,Hong Kong,None,,Hong Kong,+852  2973 0622,,+852  2521 4964,,,
2890,1957,PFPC Inc,11,Underwriter/Sponsor,1,,,,None,None,,None,,,,,,
1482,1960,Ellington Capital Management LLC,1,Management Firm,1,53 Forest Avenue,2nd Floor,,Old Greenwich,Connecticut,06870,United States,+1 203 409 3728,+1 203 698 0239,+1 203 698 0284,+1 203 698 0306,,www.ellington.com
4190,1965,Elliott Capital Advisers LP,1,Management Firm,1,712 Fifth Avenue,,,New York,New York,10019,United States,+1 212 974 2090,,+1 212 262 0415,,,www.elliott-assoc.com
335,1982,Liberty Ermitage Luxembourg SA,1,Management Firm,1,Business Center Glacis,1 allee Scheffer,P. O. Box 44,Luxembourg,None,L 2010,Luxembourg,+44 15 3461 5505,,+44 20 7333 0443,,,
334,1993,Ermitage Luxembourg SA,1,Management Firm,1,"16A, Boulevard de la Foire",1528,,Luxembourg,None,,Luxembourg,+352 4 60 404,,,,,
916,1997,Scottish Value Management Ltd,1,Management Firm,1,7 Castle Street,,,Edinburgh,None,EH2 3AH,United Kingdom,+44 131 718 5814,,+44 131 226 7799,,,www.scottish-value.co.uk
1007,2003,Ermitage Management (Bermuda) Ltd,11,Underwriter/Sponsor,1,6 Front Street,,,Hamilton,None,HM11,Bermuda,+44 15 3461 5500,,,,info@ermitagegroup.com,www.liberty-ermitage.com
2338,2008,HWF Capital LP,1,Management Firm,1,HWF Capital LP,2875 N.E. 191st Street,Suite 904,Aventura,Florida,33180,United States,+1 305 935 5556,,+1 305 932 0133,,,
836,2024,Wyser-Pratte Management Co,1,Management Firm,1,410 Park Avenue,Suite 1510,,New York,New York,10022,United States,+1 646 735 5065,,+1 212 495 5360,,,www.wyser-pratte.com
1552,2032,Zulauf Investment Management AG,1,Management Firm,1,Grafenauweg 4,,,Zug,None,CH-6300,Switzerland,+41 41 724 5701,,+41 41 724 5709,,,
2242,2064,Eurovest Managers LLC,1,Management Firm,1,575 Fifth Avenue,17th Floor,,New York,New York,10017,United States,+1 212 692 0138,,+1 212 938 4925,,,
2242,2069,Eurovest Asset Management Ltd,11,Underwriter/Sponsor,1,2177 N Powerline Rd Ste 2,"Pompano Beach,",,Miami,Florida,FL 3306,United States,,,,,,
87,2077,Everest Capital Inc,1,Management Firm,1,2601 South Bayshore Drive,Suite 1700,,Miami,Florida,33133,United States,+1 305 666 1700,,+1 305 666 1919,,,
969,2092,Fairfield International Managers Inc,1,Management Firm,1,919 Third Avenue,11th Floor,,New York,New York,10022-4,United States,+1 212 319 0450,,+1 212 319 6060,,,www.fggus.com
283,2098,Falcon Partners,1,Management Firm,1,3343 Peachtree Road,Suite 1450,East Tower,Atlanta,Georgia,,United States,+1 404 240 0555,,+1 404 240 0552,,,
283,2103,JO Patterson & Co,11,Underwriter/Sponsor,1,,,,None,Georgia,,United States,,,,,,
813,2109,GHS Management Inc,1,Management Firm,1,5950 Berkshire Lane,,,Dallas,Texas,75225,United States,+1 214 696 2700,,,,,www.libfungrp.com
1702,2120,FamCo,1,Management Firm,1,Hemisphere House,9 Church Street,,Hamilton,None,HMII,Bermuda,+1 441 278 2155,,+1 441 295 1607,,,www.hemisphere.com
1624,2140,Feirstein Capital Management Corp,1,Management Firm,1,390 Park Avenue,4th Floor,,New York,New York,10022,United States,+1 646 521 8300,,,,,www.feirstein.com
487,2147,Fenchurch Capital Management Ltd,1,Management Firm,1,222 South Riverside Plaza,Suite 900,,Chicago,Illinois,60606,United States,+1 312 922 1717,,+1 312 554 7707,,,
3052,2186,FI Founders Asset Management Ltd,1,Management Firm,1,CIBC Financial Centre,"54 Edward Street, 3rd Floor",PO Box 694 GT,Grand Cayman,None,,Cayman Islands,+1 972 9 954 7003,,+1 972 9 956 2223,,,www.citco.com
893,2207,New Bond Trading Inc,1,Management Firm,1,"100 Federal Streer, Floor 30",,,Boston,Massachusetts,02110-1,United States,+1 617 521 8571,,,,,
893,2213,Finsbury International (Bermuda) Ltd,11,Underwriter/Sponsor,1,,,,None,None,,Bermuda,,,,,,
1931,2219,Firebird Advisors LDC,1,Management Firm,1,152 West 57th St,24th Floor,,New York,New York,10019,United States,+1 212 698 9260,,+1 212 698 9266,,,www.fbird.com
1446,2236,Husic Capital Management,1,Management Firm,1,555 California Street,Suite 1700,,San Francisco,California,94104,United States,+1 415 398 0800,,+1 415 398 8616,,,www.ey.com
911,2250,Forstmann Leff Associates Inc,1,Management Firm,1,590 Madison Avenue # 39,,,New York,None,10022-8,United States,+ 1 212 644 9888,,+ 1 212 407 9623,,,http://www.forstmannleff.com/
1585,2273,Fletcher Asset Management Inc,1,Management Firm,1,48 Wall Street-5th Floor,,,New York,New York,10005,United States,+1 212 284 4800,,+1 212 284 4801,,,www.fletcher.com
2179,2284,Flowers Financial Group Inc,1,Management Firm,1,1440 N Main Street,,,Hempstead,New York,21074,United States,+1 410 239 1100,,+1 410 876 0503,,,www.browncpas.com
26,2291,Forest Investment Management LP,1,Management Firm,1,53 Forest Avenue,3rd Floor,,Old Greenwich,Connecticut,06870,United States,+1 203 698 0044,,+1 203 286 2313,,,www.forestinvestment.com
2258,2324,FORT Inc,1,Management Firm,1,17 Lancaster Lane,,,Chestnut Ridge,New York,10952,United States,+1 914 426 5525,,+1 914 426 5522,,,
1109,2348,Fortitude Fund Management Ltd,1,Management Firm,1,,,,None,None,,None,,,,,,
2349,2389,Rothstein Kass & Company (Cayman),1,Management Firm,1,"27 Hospital Road, P.O. Box 1748,",,,Grand Cayman,None,KY1-110,Cayman Islands,+3 45 949 6333,,+3 45 946 9444,,,http://www.rkco.com
324,2392,Enigma Investments Ltd,1,Management Firm,1,Folkes Asset Management,Chelsea Wharf,15 Lots Road,London,None,SW10 0Q,United Kingdom,+44 20 7376 5437,,+44 20 7351 1454,,,
28,2398,Six Sigma Investment Corp,11,Underwriter/Sponsor,1,Six Sigma Investment Corp,925 De La Vina Street #102,,Santa Barbara,California,93101,United States,+1 805 564 1000,,,,,
28,2402,Fiduciary Asset Management,1,Management Firm,1,Six Sigma Investment Corp,925 De La Vina Street #102,,Santa Barbara,California,93101,United States,+1 805 564 1000,,+1 805 899 3121,,,
1674,2424,Cobalt Capital Management Inc,1,Management Firm,1,237 Park Avenue,Suite 801,,New York,New York,10017,United States,+1 212 808 3756,,+1 212 808 3737,,,www.cobaltcapital.com
1674,2436,Wayne Cooperman,11,Underwriter/Sponsor,1,237 Park Avenue,Suite 801,,New York,New York,10017,United States,+1 212 808 3756,,+1 212 808 3737,,,
29,2447,Gabelli Asset Management Co,1,Management Firm,1,One Corporate Center,,,Rye,New York,10580-1,United States,+1 914 921 5100,+1 914 921 5135,+1 914 921 5296,,alternatives@gabelli.com,www.gabelli.com
1760,2453,Gabelli Securities Inc,1,Management Firm,1,One Corporate Center,555 Theodore Fremd Avenue,,Rye,New York,10580-1,United States,+1 914 921 5100,,+1 914 921 5296,,,
1760,2465,Gabelli International Securities Ltd,11,Underwriter/Sponsor,1,,,,None,None,,None,,,,,,
140,2486,GaiaCorp Ireland Ltd,1,Management Firm,1,10 Lower Mount Street,,,Dublin 2,None,,Ireland,,,,,,
